,iso_merged,SHAPE_Leng,SHAPE_Area
301,ID,1.86391740348,0.218730376018
302,ID,44.3165527018,45.0129027188
303,ID,2.13246159251,0.183197861502
304,ID,40.9777834121,37.4908736385
305,ID,0.768666363553,0.0431149120757
306,IE,24.8531714125,10.7283443145
307,IL,0.0676915815684,0.000316780433558
308,IL,0.000471068239674,2.88720913875e-10
309,IL,10.9085677998,2.05156655671
310,IM,1.68248714717,0.172220898253
311,IN,2.12029166757,0.187258776135
312,IN,1.33716243405,0.0875468729852
313,IN,0.468126167915,0.0163829511884
314,IN,0.667505540035,0.034402378421
315,IN,0.379574543815,0.011140316351
316,IN,0.356976843798,0.00986061990736
317,IN,0.418500370071,0.013162176589
318,IN,1.27794622832,0.118107856024
319,IN,0.423512799051,0.0131817125176
320,IN,5.35503837567,0.649400252153
321,IN,149.676138562,280.867043868
322,IO,0.825159291,0.0453269501858
323,IQ,0.0782805339629,8.07222070757e-05
324,IQ,33.8255471995,42.1640974721
325,IR,73.1640884615,162.772240253
326,IR,0.000512072350408,2.61508948915e-10
327,IT,8.29889161236,2.98588434788
328,IT,1.24027319699,0.0779694470901
329,IT,57.2054843053,32.6271904948
330,JE,0.930842266532,0.0545868468929
331,JM,5.60937841414,1.19407220535
332,JO,16.295564878,8.45704285794
333,JP,0.948312321797,0.0645083248488
334,JP,1.10954327924,0.0659974129234
335,JP,0.902150314663,0.0508488009209
336,JP,2.85283979359,0.245839966995
337,JP,0.893432820573,0.0594232298096
338,JP,1.73134989326,0.153413254684
339,JP,1.10772163592,0.0926598724182
340,JP,1.43963379727,0.112041197998
341,JP,1.13136200961,0.089367225143
342,JP,1.09590239175,0.0704639430938
343,JP,0.765807047545,0.0447603746839
344,JP,0.814358918443,0.046888487346
345,JP,1.78794845285,0.173770060097
346,JP,0.905244840357,0.0635774503542
347,JP,1.95132934848,0.191051643523
348,JP,68.9533905006,32.7293287963
349,JP,0.869916597635,0.0550883417844
350,JP,1.66831268415,0.108885008474
351,JP,22.4599907721,9.84476473016
352,KE,33.0496276849,47.5271930045
353,KE,0.000587166623944,3.72525468421e-10
354,KG,36.7541303536,21.5118282911
355,KH,0.00168542169268,1.86155392782e-09
356,KH,0.000695756404666,4.46464055135e-10
357,KH,21.4118158018,15.2776936943
358,KI,0.359777801971,0.0101422538597
359,KM,0.893023287574,0.0518007857346
360,KM,1.32548386446,0.0913373069826
361,KM,1.6972371467,0.158279447515
362,KN,0.955041969365,0.0539213922753
363,KP,24.9921691081,13.6327818334
364,KP,0.223315432508,0.00170097164512
365,KR,2.15990395807,0.277303106349
366,KR,18.3298959455,10.6679268043
367,KW,7.05379667009,1.71946210023
368,KY,1.01622203585,0.0579394119067
369,KZ,135.171930203,347.555734665
370,LA,37.558252269,19.6803737153
371,LB,5.8243875044,1.09984179401
372,LC,1.23910866766,0.103499950722
373,LI,0.633865658936,0.0209205167418
374,LK,11.1958333474,5.98779683479
375,LR,15.3713784291,8.07807961243
376,LS,7.09803180935,2.84150813788
377,LT,16.85378035,9.45671050988
378,LU,2.64611859193,0.322093450062
379,LV,0.000714509379346,5.96121992859e-10
380,LV,19.7289268472,10.0154808208
381,LY,57.7229161781,148.172154288
382,MA,55.7084639962,63.7391901595
383,MD,12.4572467852,3.99894238772
384,ME,7.26717662827,1.57847056703
385,MF,0.926763773896,0.025022286012
386,MG,1.1394236981,0.064639128039
387,MG,0.942099383839,0.0652393864193
388,MG,39.3973411546,53.0047796905
389,MK,7.2155114367,2.75000363194
390,ML,64.2045167737,106.649580929
391,MM,0.892040011676,0.0487285999302
392,MM,1.14079081188,0.0618641420666
393,MM,1.09541150699,0.0707215571581
394,MM,1.16592260951,0.087494077358
395,MM,69.3940236655,59.400687961
396,MN,85.1392338817,186.23991605
397,MN,0.000954534784175,6.65709422589e-10
398,MN,6.39739405497e-05,1.7379747824e-12
399,MN,0.000939686338987,6.64874231971e-10
400,MQ,1.65992687296,0.166027187943
401,MR,0.00193744547299,3.36289914541e-10
402,MR,0.00129405636284,4.17880543734e-10
403,MR,0.00116676600036,5.2291162716e-10
404,MR,0.00111428948308,6.11409997577e-10
405,MR,0.00108738842468,6.79327993303e-10
406,MR,0.00107250467349,7.25522255621e-10
407,MR,0.00106539829773,7.49480243338e-10
408,MR,51.6117976376,90.2450253923
409,MS,0.668104598655,0.0337290512329
410,MT,0.996566518355,0.0707104215546
411,MV,0.418632060937,0.012950216213
412,MV,0.340903049799,0.00911396694258
413,MV,0.324959128193,0.00834592740329
414,MV,0.307640870741,0.0075069516263
415,MV,0.379894628451,0.0109612614983
416,MV,0.399794049208,0.0119753427424
417,MV,0.31754376983,0.00794932647388
418,MV,0.313502968059,0.00778715978998
419,MV,0.317805033186,0.0080290161547
420,MV,0.315629236812,0.0079131612469
421,MV,0.328009054197,0.00852392821785
422,MV,0.3434628132,0.00933876069454
423,MV,0.332922073313,0.00868087955319
424,MV,0.358147629809,0.00993972869073
425,MV,0.35299394855,0.00966027140621
426,MV,0.315915754946,0.00788725153855
427,MV,0.315000326614,0.00785689924239
428,MV,0.40973383594,0.0125402800582
429,MV,0.321892939682,0.00817524253738
430,MW,0.166935492126,0.00172021256193
431,MW,0.0658848172762,0.000146487669158
