,filename,Source,Location_I,City,State,Country,Latitude,Longitude,Time_Zone,Elevation
20,USA GA Macon Middle Ga Regional Ap (TMY3).csv,TMY3,722170,Macon Middle Ga Regional Ap,GA,USA,32.683,-83.65,-5,108
21,USA MT Havre City-county Ap (TMY3).csv,TMY3,727770,Havre City-county Ap,MT,USA,48.55,-109.767,-7,788
22,USA VT Montpelier Ap (TMY3).csv,TMY3,726145,Montpelier Ap,VT,USA,44.2,-72.567,-5,343
23,USA CO Limon (TMY3).csv,TMY3,724665,Limon,CO,USA,39.183,-103.717,-7,1695
24,USA TN Bristol Tri City Airport (TMY3).csv,TMY3,723183,Bristol Tri City Airport,TN,USA,36.467,-82.4,-5,457
25,USA OH Cincinnati Municipal Ap Lunki (TMY3).csv,TMY3,724297,Cincinnati Municipal Ap Lunki,OH,USA,39.1,-84.417,-5,149
26,USA IA Oelwen (TMY3).csv,TMY3,725488,Oelwen,IA,USA,42.683,-91.967,-6,328
27,USA CA San Diego Miramar Nas (TMY3).csv,TMY3,722930,San Diego Miramar Nas,CA,USA,32.867,-117.133,-8,140
28,USA MI Cadillac Wexford Co Ap (TMY3).csv,TMY3,726384,Cadillac Wexford Co Ap,MI,USA,44.283,-85.417,-5,396
29,USA MN Grand Rapids(awos) (TMY3).csv,TMY3,727458,Grand Rapids(awos),MN,USA,47.217,-93.517,-6,413
30,USA NJ Cape May Co (TMY3).csv,TMY3,745966,Cape May Co,NJ,USA,39.0,-74.917,-5,7
31,USA ID Caldwell (awos) (TMY3).csv,TMY3,726813,Caldwell (awos),ID,USA,43.633,-116.633,-7,740
32,USA WI Eau Claire County Ap (TMY3).csv,TMY3,726435,Eau Claire County Ap,WI,USA,44.867,-91.483,-6,271
33,USA NC Southern Pines Awos (TMY3).csv,TMY3,723143,Southern Pines Awos,NC,USA,35.233,-79.4,-5,141
34,USA CA Alturas (TMY3).csv,TMY3,725958,Alturas,CA,USA,41.5,-120.533,-8,1341
35,USA AR Fort Smith Regional Ap (TMY3).csv,TMY3,723440,Fort Smith Regional Ap,AR,USA,35.333,-94.367,-6,137
36,USA FL Tallahassee Regional Ap [isis] (TMY3).csv,TMY3,722140,Tallahassee Regional Ap [isis],FL,USA,30.38,-84.37,-5,21
37,USA WA Ephrata Ap Fcwos (TMY3).csv,TMY3,727826,Ephrata Ap Fcwos,WA,USA,47.3,-119.517,-8,384
38,USA CA Porterville (awos) (TMY3).csv,TMY3,723895,Porterville (awos),CA,USA,36.033,-119.067,-8,135
39,USA NE Mccook Municipal (TMY3).csv,TMY3,725625,Mccook Municipal,NE,USA,40.2,-100.583,-6,786
40,USA OH Burke Lakefront (TMY3).csv,TMY3,725245,Burke Lakefront,OH,USA,41.517,-81.683,-5,182
41,USA PR Mercedita (TMY3).csv,TMY3,785203,Mercedita,PR,USA,18.0,-66.55,-4,8
42,USA CA Point Mugu Nf (TMY3).csv,TMY3,723910,Point Mugu Nf,CA,USA,34.117,-119.117,-8,3
43,USA MA Otis Angb (TMY3).csv,TMY3,725060,Otis Angb,MA,USA,41.65,-70.517,-5,40
44,USA NE Brewster Field Arpt (TMY3).csv,TMY3,725628,Brewster Field Arpt,NE,USA,40.45,-99.333,-6,704
45,USA PA Johnstown Cambria County Ap (TMY3).csv,TMY3,725127,Johnstown Cambria County Ap,PA,USA,40.317,-78.833,-5,695
46,USA WI Marshfield Muni (TMY3).csv,TMY3,726574,Marshfield Muni,WI,USA,44.633,-90.183,-6,389
47,USA ND Williston Sloulin Intl Ap (TMY3).csv,TMY3,727670,Williston Sloulin Intl Ap,ND,USA,48.2,-103.65,-6,580
48,USA NJ Caldwell Essex Co. (TMY3).csv,TMY3,724094,Caldwell Essex Co.,NJ,USA,40.883,-74.283,-5,53
49,USA WY Sheridan County Arpt (TMY3).csv,TMY3,726660,Sheridan County Arpt,WY,USA,44.767,-106.967,-7,1208
50,USA OH Toledo Express Airport (TMY3).csv,TMY3,725360,Toledo Express Airport,OH,USA,41.583,-83.8,-5,204
51,USA VA Marion   Wytheville (TMY3).csv,TMY3,724056,Marion   Wytheville,VA,USA,36.9,-81.35,-5,780
52,USA VA Lynchburg Regional Arpt (TMY3).csv,TMY3,724100,Lynchburg Regional Arpt,VA,USA,37.333,-79.2,-5,286
53,USA OH Dayton International Airport (TMY3).csv,TMY3,724290,Dayton International Airport,OH,USA,39.9,-84.217,-5,305
54,USA NH Mount Washington (TMY3).csv,TMY3,726130,Mount Washington,NH,USA,44.267,-71.3,-5,1910
55,USA ID Malad City (TMY3).csv,TMY3,725786,Malad City,ID,USA,42.15,-112.283,-7,1362
56,USA OK Tulsa International Airport (TMY3).csv,TMY3,723560,Tulsa International Airport,OK,USA,36.2,-95.883,-6,198
57,USA WV Martinsburg Eastern Wv Reg Ap (TMY3).csv,TMY3,724177,Martinsburg Eastern Wv Reg Ap,WV,USA,39.4,-77.983,-5,162
58,USA KS Newton (awos) (TMY3).csv,TMY3,724509,Newton (awos),KS,USA,38.05,-97.283,-6,467
59,USA NV Lovelock Derby Field (TMY3).csv,TMY3,725805,Lovelock Derby Field,NV,USA,40.067,-118.55,-8,1189
60,USA MO Kaiser Mem (awos) (TMY3).csv,TMY3,724459,Kaiser Mem (awos),MO,USA,38.1,-92.55,-6,265
61,USA WA Renton Muni (TMY3).csv,TMY3,727934,Renton Muni,WA,USA,47.483,-122.217,-8,10
62,USA PA Williamsport Regional Ap (TMY3).csv,TMY3,725140,Williamsport Regional Ap,PA,USA,41.25,-76.917,-5,158
63,USA UT Wendover Usaf Auxiliary Field (TMY3).csv,TMY3,725810,Wendover Usaf Auxiliary Field,UT,USA,40.717,-114.033,-8,1291
64,USA IA Monticello Muni (TMY3).csv,TMY3,725475,Monticello Muni,IA,USA,42.233,-91.167,-6,259
65,USA NY Buffalo Niagara Intl Ap (TMY3).csv,TMY3,725280,Buffalo Niagara Intl Ap,NY,USA,42.933,-78.733,-5,215
66,USA MN Roseau Muni (awos) (TMY3).csv,TMY3,727477,Roseau Muni (awos),MN,USA,48.85,-95.7,-6,323
67,USA CA Twentynine Palms (TMY3).csv,TMY3,690150,Twentynine Palms,CA,USA,34.3,-116.167,-8,626
68,USA KS Liberal Muni (TMY3).csv,TMY3,724516,Liberal Muni,KS,USA,37.033,-100.967,-6,901
69,USA ME Auburn-lewiston (TMY3).csv,TMY3,726184,Auburn-lewiston,ME,USA,44.05,-70.283,-5,88
